year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
2000,GEORGIA,GA,ELBERT,13105,US PRESIDENT,OTHER,OTHER,50,5853,20220315,TOTAL
2000,GEORGIA,GA,EMANUEL,13107,US PRESIDENT,AL GORE,DEMOCRAT,2835,6263,20220315,TOTAL
2000,GEORGIA,GA,EMANUEL,13107,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3343,6263,20220315,TOTAL
2000,GEORGIA,GA,EMANUEL,13107,US PRESIDENT,RALPH NADER,GREEN,1,6263,20220315,TOTAL
2000,GEORGIA,GA,EMANUEL,13107,US PRESIDENT,OTHER,OTHER,84,6263,20220315,TOTAL
2000,GEORGIA,GA,EVANS,13109,US PRESIDENT,AL GORE,DEMOCRAT,1217,3080,20220315,TOTAL
2000,GEORGIA,GA,EVANS,13109,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1841,3080,20220315,TOTAL
2000,GEORGIA,GA,EVANS,13109,US PRESIDENT,RALPH NADER,GREEN,2,3080,20220315,TOTAL
2000,GEORGIA,GA,EVANS,13109,US PRESIDENT,OTHER,OTHER,20,3080,20220315,TOTAL
2000,GEORGIA,GA,FANNIN,13111,US PRESIDENT,AL GORE,DEMOCRAT,2736,8390,20220315,TOTAL
2000,GEORGIA,GA,FANNIN,13111,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5463,8390,20220315,TOTAL
2000,GEORGIA,GA,FANNIN,13111,US PRESIDENT,RALPH NADER,GREEN,33,8390,20220315,TOTAL
2000,GEORGIA,GA,FANNIN,13111,US PRESIDENT,OTHER,OTHER,158,8390,20220315,TOTAL
2000,GEORGIA,GA,FAYETTE,13113,US PRESIDENT,AL GORE,DEMOCRAT,11912,42449,20220315,TOTAL
2000,GEORGIA,GA,FAYETTE,13113,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,29338,42449,20220315,TOTAL
2000,GEORGIA,GA,FAYETTE,13113,US PRESIDENT,RALPH NADER,GREEN,259,42449,20220315,TOTAL
2000,GEORGIA,GA,FAYETTE,13113,US PRESIDENT,OTHER,OTHER,940,42449,20220315,TOTAL
2000,GEORGIA,GA,FLOYD,13115,US PRESIDENT,AL GORE,DEMOCRAT,10282,26825,20220315,TOTAL
